Orthogroup	Duplications (all)	Duplications (50% support)
OG0000778	3	3
OG0000779	6	5
OG0000780	14	14
OG0000781	10	10
OG0000782	13	13
OG0000783	14	14
OG0000784	13	13
OG0000785	5	5
OG0000786	6	6
OG0000787	4	4
OG0000788	4	4
OG0000789	4	4
OG0000790	13	13
OG0000791	6	5
OG0000792	5	5
OG0000793	4	4
OG0000794	5	5
OG0000795	3	3
OG0000796	5	5
OG0000797	2	2
OG0000798	3	2
OG0000799	13	13
OG0000800	5	5
OG0000801	4	4
OG0000802	4	3
OG0000803	5	5
OG0000804	3	3
OG0000805	3	3
OG0000806	4	4
OG0000807	6	6
OG0000808	3	3
OG0000809	5	5
OG0000810	4	4
OG0000811	3	3
OG0000812	5	4
OG0000813	3	2
OG0000814	3	2
OG0000815	3	3
OG0000816	4	4
OG0000817	2	2
OG0000818	4	3
OG0000819	6	6
OG0000820	5	4
OG0000821	10	10
OG0000822	4	4
OG0000823	3	3
OG0000824	4	3
OG0000825	4	4
OG0000826	4	3
OG0000827	3	3
OG0000828	3	2
OG0000829	3	3
OG0000830	6	6
OG0000831	5	5
OG0000832	3	3
OG0000833	2	2
OG0000834	3	3
OG0000835	6	5
OG0000836	6	6
OG0000837	3	3
OG0000838	3	1
OG0000839	4	4
OG0000840	10	10
OG0000841	3	3
OG0000842	3	3
OG0000843	4	3
OG0000844	3	3
OG0000845	3	2
OG0000846	6	6
OG0000847	4	4
OG0000848	4	3
OG0000849	4	3
OG0000850	4	4
OG0000851	3	3
OG0000852	3	3
OG0000853	6	6
OG0000854	3	3
OG0000855	2	2
OG0000856	3	3
OG0000857	3	3
OG0000858	3	3
OG0000859	3	3
OG0000860	2	2
OG0000861	5	5
OG0000862	5	5
OG0000863	4	4
OG0000864	3	3
OG0000865	4	4
OG0000866	6	6
OG0000867	6	6
OG0000868	3	3
OG0000869	4	1
OG0000870	3	2
OG0000871	4	4
OG0000872	6	6
OG0000873	3	3
OG0000874	2	2
OG0000875	4	4
OG0000876	4	4
OG0000877	6	5
OG0000878	2	2
OG0000879	3	3
OG0000880	4	4
OG0000881	4	4
OG0000882	6	6
OG0000883	2	2
OG0000884	3	3
OG0000885	4	4
OG0000886	7	6
OG0000887	4	3
OG0000888	4	4
OG0000889	6	6
OG0000890	3	3
OG0000891	2	2
OG0000892	4	4
OG0000893	3	3
OG0000894	5	5
OG0000895	5	5
OG0000896	4	4
OG0000897	4	4
OG0000898	3	3
OG0000899	6	6
OG0000900	5	5
